File;Hackathon download URL;File size;Hackathon thumbnail URL;Inventory Number;stable URI;Metadata available at
MFNB_Col_Brentidae_Brentinae_D0004.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Brentinae_D0004.jpg;193.864.242;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Brentinae_D0004.jpg;MFNB_Col_Brentidae_Brentinae_D0004;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Brentinae_D0004;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Brentinae_D0004
MFNB_Col_Brentidae_Brentinae_D0006.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Brentinae_D0006.jpg;182.789.657;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Brentinae_D0006.jpg;MFNB_Col_Brentidae_Brentinae_D0006;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Brentinae_D0006;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Brentinae_D0006
MFNB_Col_Brentidae_Brentinae_D0013.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Brentinae_D0013.jpg;165.367.609;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Brentinae_D0013.jpg;MFNB_Col_Brentidae_Brentinae_D0013;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Brentinae_D0013;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Brentinae_D0013
MFNB_Col_Brentidae_Brentinae_D0015.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Brentinae_D0015.jpg;175.516.656;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Brentinae_D0015.jpg;MFNB_Col_Brentidae_Brentinae_D0015;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Brentinae_D0015;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Brentinae_D0015
MFNB_Col_Brentidae_Cyphagoginae_D0022.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0022.jpg;167.307.337;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0022.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0022;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0022;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0022
MFNB_Col_Brentidae_Cyphagoginae_D0023.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0023.jpg;179.233.244;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0023.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0023;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0023;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0023
MFNB_Col_Brentidae_Cyphagoginae_D0024.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0024.jpg;165.728.192;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0024.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0024;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0024;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0024
MFNB_Col_Brentidae_Cyphagoginae_D0025.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0025.jpg;184.010.871;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0025.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0025;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0025;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0025
MFNB_Col_Brentidae_Cyphagoginae_D0026.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0026.jpg;172.772.896;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0026.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0026;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0026;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0026
MFNB_Col_Brentidae_Cyphagoginae_D0027.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Cyphagoginae_D0027.jpg;182.846.332;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Cyphagoginae_D0027.jpg;MFNB_Col_Brentidae_Cyphagoginae_D0027;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Cyphagoginae_D0027;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Cyphagoginae_D0027
MFNB_Col_Brentidae_Taphroderinae_D0028.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Taphroderinae_D0028.jpg;194.578.795;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Taphroderinae_D0028.jpg;MFNB_Col_Brentidae_Taphroderinae_D0028;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Taphroderinae_D0028;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Taphroderinae_D0028
